Year,Month,Day,Hour,Minute,Second,KUM_META.CO
2020,01,13,04,00,00,177.59387
2020,01,13,05,00,00,181.04495
2020,01,13,06,00,00,187.19628
2020,01,13,07,00,00,194.53499
2020,01,13,08,00,00,202.16157
2020,01,13,09,00,00,207.34422
2020,01,13,10,00,00,197.10504
2020,01,13,11,00,00,194.62608
2020,01,13,12,00,00,197.73364
2020,01,13,13,00,00,195.60528
2020,01,13,14,00,00,191.6704
2020,01,13,15,00,00,209.96109
2020,01,13,16,00,00,202.70962
2020,01,13,17,00,00,202.98675
2020,01,13,18,00,00,192.74843
2020,01,13,19,00,00,195.74858
2020,01,13,20,00,00,194.94145
2020,01,13,21,00,00,192.82792
2020,01,13,22,00,00,189.20776
2020,01,13,23,00,00,190.95027
2020,01,14,00,00,00,190.72642
2020,01,14,01,00,00,193.73602
2020,01,14,02,00,00,190.87014
2020,01,14,03,00,00,191.84076
2020,01,14,04,00,00,188.99249
2020,01,14,05,00,00,186.95416
2020,01,14,06,00,00,192.71191
2020,01,14,07,00,00,194.01401
2020,01,14,08,00,00,195.47832
2020,01,14,09,00,00,196.04484
2020,01,14,10,00,00,192.82019
2020,01,14,11,00,00,195.14619
2020,01,14,12,00,00,198.1197
2020,01,14,13,00,00,199.18764
2020,01,14,14,00,00,205.4032
2020,01,14,15,00,00,203.98551
2020,01,14,16,00,00,203.6059
2020,01,14,17,00,00,201.29945
2020,01,14,18,00,00,208.58446
2020,01,14,19,00,00,215.58266
2020,01,14,20,00,00,216.49785
2020,01,14,21,00,00,214.91668
2020,01,14,22,00,00,219.32227
2020,01,14,23,00,00,225.84138
2020,01,15,00,00,00,231.09084
2020,01,15,01,00,00,219.62066
2020,01,15,02,00,00,199.25896
2020,01,15,03,00,00,194.66002
2020,01,15,04,00,00,192.17203
2020,01,15,05,00,00,190.82503
2020,01,15,06,00,00,192.4539
2020,01,15,07,00,00,201.02854
2020,01,15,08,00,00,217.30711
2020,01,15,09,00,00,258.61676
2020,01,15,10,00,00,268.18265
2020,01,15,11,00,00,251.62629
2020,01,15,12,00,00,224.11691
2020,01,15,13,00,00,211.28835
2020,01,15,14,00,00,201.34285
2020,01,15,15,00,00,200.89535
2020,01,15,16,00,00,195.84676
2020,01,15,17,00,00,193.0623
2020,01,15,18,00,00,189.32699
2020,01,15,19,00,00,182.81475
2020,01,15,20,00,00,181.73628
2020,01,15,21,00,00,176.98396
2020,01,15,22,00,00,172.70683
2020,01,15,23,00,00,171.08054
2020,01,16,00,00,00,171.59206
2020,01,16,01,00,00,171.1697
2020,01,16,02,00,00,167.41548
2020,01,16,03,00,00,163.55321
2020,01,16,04,00,00,164.21812
2020,01,16,05,00,00,161.11035
2020,01,16,06,00,00,168.33261
2020,01,16,07,00,00,174.56665
2020,01,16,08,00,00,180.59573
2020,01,16,09,00,00,184.61934
2020,01,16,10,00,00,183.24548
2020,01,16,11,00,00,183.56923
2020,01,16,12,00,00,185.23075
2020,01,16,13,00,00,183.45988
2020,01,16,14,00,00,188.18514
2020,01,16,15,00,00,200.68006
2020,01,16,16,00,00,191.4012
2020,01,16,17,00,00,194.45634
2020,01,16,18,00,00,190.71803
2020,01,16,19,00,00,189.19163
2020,01,16,20,00,00,192.26706
2020,01,16,21,00,00,192.12045
2020,01,16,22,00,00,180.80991
2020,01,16,23,00,00,177.32338
2020,01,17,00,00,00,178.48241
2020,01,17,01,00,00,180.71109
2020,01,17,02,00,00,178.66352
2020,01,17,03,00,00,180.02836
2020,01,17,04,00,00,181.8611
2020,01,17,05,00,00,186.42524
2020,01,17,06,00,00,192.32692
2020,01,17,07,00,00,196.6831
2020,01,17,08,00,00,201.33533
2020,01,17,09,00,00,204.08348
2020,01,17,10,00,00,201.85608
2020,01,17,11,00,00,201.91967
2020,01,17,12,00,00,196.14452
2020,01,17,13,00,00,198.34484
2020,01,17,14,00,00,201.28162
2020,01,17,15,00,00,204.31764
2020,01,17,16,00,00,202.36846
2020,01,17,17,00,00,202.69157
2020,01,17,18,00,00,205.85285
2020,01,17,19,00,00,211.73457
2020,01,17,20,00,00,214.76071
2020,01,17,21,00,00,223.98844
2020,01,17,22,00,00,232.67523
2020,01,17,23,00,00,236.60861
2020,01,18,00,00,00,231.19373
2020,01,18,01,00,00,227.07237
2020,01,18,02,00,00,225.6173
2020,01,18,03,00,00,222.60018
2020,01,18,04,00,00,221.43213
2020,01,18,05,00,00,221.20484
2020,01,18,06,00,00,226.201
2020,01,18,07,00,00,232.14565
2020,01,18,08,00,00,241.99297
2020,01,18,09,00,00,241.91155
2020,01,18,10,00,00,257.63906
2020,01,18,11,00,00,276.97966
2020,01,18,12,00,00,296.83819
2020,01,18,13,00,00,327.95228
2020,01,18,14,00,00,335.80272
2020,01,18,15,00,00,335.88456
2020,01,18,16,00,00,334.20221
2020,01,18,17,00,00,339.03532
2020,01,18,18,00,00,340.92971
2020,01,18,19,00,00,341.15766
2020,01,18,20,00,00,320.26319
2020,01,18,21,00,00,262.91
2020,01,18,22,00,00,227.79551
2020,01,18,23,00,00,199.56231
2020,01,19,00,00,00,183.56409
2020,01,19,01,00,00,182.21579
2020,01,19,02,00,00,184.63245
2020,01,19,03,00,00,190.5696
2020,01,19,04,00,00,190.09696
2020,01,19,05,00,00,190.37539
2020,01,19,06,00,00,183.55915
2020,01,19,07,00,00,179.83652
2020,01,19,08,00,00,181.84929
2020,01,19,09,00,00,192.47774
2020,01,19,10,00,00,209.52736
2020,01,19,11,00,00,203.17666
2020,01,19,12,00,00,203.61557
2020,01,19,13,00,00,200.5804
2020,01,19,14,00,00,204.32581
2020,01,19,15,00,00,203.0149
2020,01,19,16,00,00,215.93283
2020,01,19,17,00,00,217.52345
2020,01,19,18,00,00,217.71164
2020,01,19,19,00,00,211.39597
2020,01,19,20,00,00,198.61467
2020,01,19,21,00,00,194.30318
2020,01,19,22,00,00,187.22463
2020,01,19,23,00,00,187.60145
2020,01,20,00,00,00,185.41938
2020,01,20,01,00,00,183.3529
2020,01,20,02,00,00,181.44883
2020,01,20,03,00,00,182.72472
2020,01,20,04,00,00,181.1253
2020,01,20,05,00,00,179.4264
2020,01,20,06,00,00,182.67123
2020,01,20,07,00,00,184.99852
2020,01,20,08,00,00,191.01494
2020,01,20,09,00,00,191.19411
2020,01,20,10,00,00,195.37026
2020,01,20,11,00,00,190.57389
2020,01,20,12,00,00,194.26279
2020,01,20,13,00,00,196.74732
2020,01,20,14,00,00,209.8902
2020,01,20,15,00,00,218.00746
2020,01,20,16,00,00,215.32097
2020,01,20,17,00,00,212.63555
2020,01,20,18,00,00,214.18923
2020,01,20,19,00,00,210.22813
2020,01,20,20,00,00,213.4964
2020,01,20,21,00,00,213.27297
2020,01,20,22,00,00,207.75691
2020,01,20,23,00,00,205.1252
2020,01,21,00,00,00,202.79082
2020,01,21,01,00,00,201.29106
2020,01,21,02,00,00,198.46105
2020,01,21,03,00,00,195.69464
2020,01,21,04,00,00,192.58686
2020,01,21,05,00,00,189.9197
2020,01,21,06,00,00,189.92895
2020,01,21,07,00,00,195.22781
2020,01,21,08,00,00,198.28167
2020,01,21,09,00,00,190.69224
2020,01,21,10,00,00,189.82905
2020,01,21,11,00,00,194.14934
2020,01,21,12,00,00,199.42072
2020,01,21,13,00,00,211.55774
2020,01,21,14,00,00,203.79559
2020,01,21,15,00,00,203.99345
2020,01,21,16,00,00,219.09301
2020,01,21,17,00,00,205.70031
2020,01,21,18,00,00,209.15934
2020,01,21,19,00,00,213.05814
2020,01,21,20,00,00,222.22143
2020,01,21,21,00,00,221.40463
2020,01,21,22,00,00,221.46736
2020,01,21,23,00,00,219.88447
2020,01,22,00,00,00,216.77712
2020,01,22,01,00,00,214.31384
2020,01,22,02,00,00,214.26959
2020,01,22,03,00,00,215.3661
2020,01,22,04,00,00,214.64898
2020,01,22,05,00,00,216.06667
2020,01,22,06,00,00,219.30764
2020,01,22,07,00,00,221.60206
2020,01,22,08,00,00,223.65071
2020,01,22,09,00,00,228.46298
2020,01,22,10,00,00,231.72222
2020,01,22,11,00,00,219.63184
2020,01,22,12,00,00,217.92133
2020,01,22,13,00,00,213.16234
2020,01,22,14,00,00,212.26713
2020,01,22,15,00,00,213.33742
2020,01,22,16,00,00,215.49113
2020,01,22,17,00,00,219.48187
2020,01,22,18,00,00,243.8878
2020,01,22,19,00,00,220.04775
2020,01,22,20,00,00,219.79618
2020,01,22,21,00,00,218.49236
2020,01,22,22,00,00,215.6845
2020,01,22,23,00,00,211.30276
2020,01,23,00,00,00,211.11177
2020,01,23,01,00,00,212.63215
2020,01,23,02,00,00,214.91411
2020,01,23,03,00,00,213.93769
2020,01,23,04,00,00,217.14043
2020,01,23,05,00,00,219.86859
2020,01,23,06,00,00,223.14931
2020,01,23,07,00,00,232.07219
2020,01,23,08,00,00,245.08722
2020,01,23,09,00,00,247.20161
2020,01,23,10,00,00,233.93158
2020,01,23,11,00,00,241.09003
2020,01,23,12,00,00,232.06984
2020,01,23,13,00,00,220.45937
2020,01,23,14,00,00,221.03084
2020,01,23,15,00,00,229.91848
2020,01,23,16,00,00,216.83986
2020,01,23,17,00,00,209.20382
2020,01,23,18,00,00,204.41647
2020,01,23,19,00,00,201.41675
2020,01,23,20,00,00,200.18596
2020,01,23,21,00,00,202.05351
2020,01,23,22,00,00,199.2061
2020,01,23,23,00,00,195.8736
2020,01,24,00,00,00,197.7955
2020,01,24,01,00,00,197.80168
2020,01,24,02,00,00,196.7991
2020,01,24,03,00,00,197.53555
2020,01,24,04,00,00,197.03327
2020,01,24,05,00,00,196.03537
2020,01,24,06,00,00,199.44886
2020,01,24,07,00,00,203.4033
2020,01,24,08,00,00,212.55693
2020,01,24,09,00,00,215.17853
2020,01,24,10,00,00,217.80208
2020,01,24,11,00,00,218.93426
2020,01,24,12,00,00,219.74976
2020,01,24,13,00,00,210.35531
2020,01,24,14,00,00,199.7189
2020,01,24,15,00,00,208.68691
2020,01,24,16,00,00,221.52751
2020,01,24,17,00,00,220.88666
2020,01,24,18,00,00,212.74555
2020,01,24,19,00,00,207.28255
2020,01,24,20,00,00,209.55485
2020,01,24,21,00,00,211.85314
2020,01,24,22,00,00,207.18546
2020,01,24,23,00,00,209.35571
2020,01,25,00,00,00,209.88656
2020,01,25,01,00,00,204.25363
2020,01,25,02,00,00,204.40702
2020,01,25,03,00,00,204.34472
2020,01,25,04,00,00,204.33569
2020,01,25,05,00,00,203.7971
2020,01,25,06,00,00,205.17977
2020,01,25,07,00,00,211.24302
2020,01,25,08,00,00,214.18946
2020,01,25,09,00,00,220.74853
2020,01,25,10,00,00,220.61469
2020,01,25,11,00,00,219.85482
2020,01,25,12,00,00,218.06183
2020,01,25,13,00,00,215.97579
2020,01,25,14,00,00,211.16438
2020,01,25,15,00,00,213.17629
2020,01,25,16,00,00,219.87007
2020,01,25,17,00,00,226.24976
2020,01,25,18,00,00,230.92733
2020,01,25,19,00,00,231.87861
2020,01,25,20,00,00,242.58589
2020,01,25,21,00,00,241.31687
2020,01,25,22,00,00,240.99291
2020,01,25,23,00,00,235.25386
2020,01,26,00,00,00,229.9825
2020,01,26,01,00,00,226.45472
2020,01,26,02,00,00,224.08124
2020,01,26,03,00,00,219.48145
2020,01,26,04,00,00,219.13427
2020,01,26,05,00,00,216.61471
2020,01,26,06,00,00,216.80398
2020,01,26,07,00,00,207.36184
2020,01,26,08,00,00,200.89599
2020,01,26,09,00,00,197.96437
2020,01,26,10,00,00,196.8178
2020,01,26,11,00,00,197.27088
2020,01,26,12,00,00,195.26369
2020,01,26,13,00,00,195.09913
2020,01,26,14,00,00,199.38742
2020,01,26,15,00,00,204.96257
2020,01,26,16,00,00,217.20162
2020,01,26,17,00,00,232.92441
2020,01,26,18,00,00,232.60796
2020,01,26,19,00,00,245.21954
2020,01,26,20,00,00,238.80505
2020,01,26,21,00,00,211.70124
2020,01,26,22,00,00,206.80519
2020,01,26,23,00,00,212.68862
2020,01,27,00,00,00,218.21393
2020,01,27,01,00,00,219.00494
2020,01,27,02,00,00,218.56518
2020,01,27,03,00,00,223.32782
2020,01,27,04,00,00,222.20382
2020,01,27,05,00,00,224.68171
2020,01,27,06,00,00,230.36771
2020,01,27,07,00,00,233.6987
2020,01,27,08,00,00,233.55604
2020,01,27,09,00,00,233.18761
2020,01,27,10,00,00,242.52855
2020,01,27,11,00,00,244.08266
2020,01,27,12,00,00,242.73544
2020,01,27,13,00,00,255.02282
2020,01,27,14,00,00,255.33799
2020,01,27,15,00,00,267.90336
2020,01,27,16,00,00,288.08781
2020,01,27,17,00,00,270.59029
2020,01,27,18,00,00,266.82769
2020,01,27,19,00,00,252.50948
2020,01,27,20,00,00,249.54778
2020,01,27,21,00,00,237.6617
2020,01,27,22,00,00,249.76133
2020,01,27,23,00,00,237.02494
2020,01,28,00,00,00,240.42875
2020,01,28,01,00,00,237.87846
2020,01,28,02,00,00,235.30863
2020,01,28,03,00,00,226.38037
2020,01,28,04,00,00,225.91332
2020,01,28,05,00,00,224.55837
2020,01,28,06,00,00,225.9593
2020,01,28,07,00,00,242.41423
2020,01,28,08,00,00,253.867
2020,01,28,09,00,00,262.44918
2020,01,28,10,00,00,265.44558
2020,01,28,11,00,00,265.4706
2020,01,28,12,00,00,272.47676
2020,01,28,13,00,00,267.80777
2020,01,28,14,00,00,264.58183
2020,01,28,15,00,00,263.07412
2020,01,28,16,00,00,284.7476
2020,01,28,17,00,00,267.28015
2020,01,28,18,00,00,256.34404
2020,01,28,19,00,00,254.74332
2020,01,28,20,00,00,241.55664
2020,01,28,21,00,00,228.52269
2020,01,28,22,00,00,227.39438
2020,01,28,23,00,00,225.33972
2020,01,29,00,00,00,223.28075
2020,01,29,01,00,00,222.93122
2020,01,29,02,00,00,224.69135
2020,01,29,03,00,00,223.5145
2020,01,29,04,00,00,232.57875
2020,01,29,05,00,00,241.55211
2020,01,29,06,00,00,250.22922
2020,01,29,07,00,00,258.12862
2020,01,29,08,00,00,260.03637
2020,01,29,09,00,00,265.34556
2020,01,29,10,00,00,267.38348
2020,01,29,11,00,00,273.98747
2020,01,29,12,00,00,284.80283
2020,01,29,13,00,00,296.93554
2020,01,29,14,00,00,312.96402
2020,01,29,15,00,00,331.86891
2020,01,29,16,00,00,356.78614
2020,01,29,17,00,00,354.96328
2020,01,29,18,00,00,362.3095
2020,01,29,19,00,00,364.39638
2020,01,29,20,00,00,367.83264
2020,01,29,21,00,00,367.61823
2020,01,29,22,00,00,362.36729
2020,01,29,23,00,00,359.21525
2020,01,30,00,00,00,363.49773
2020,01,30,01,00,00,364.359
2020,01,30,02,00,00,363.40772
2020,01,30,03,00,00,355.62024
2020,01,30,04,00,00,348.12749
2020,01,30,05,00,00,339.87145
2020,01,30,06,00,00,333.99727
2020,01,30,07,00,00,325.07739
2020,01,30,08,00,00,323.2354
2020,01,30,09,00,00,320.74699
2020,01,30,10,00,00,321.84372
2020,01,30,11,00,00,315.01696
2020,01,30,12,00,00,316.67096
2020,01,30,13,00,00,317.73761
2020,01,30,14,00,00,320.70209
2020,01,30,15,00,00,331.31163
2020,01,30,16,00,00,337.97683
2020,01,30,17,00,00,335.82356
2020,01,30,18,00,00,328.4651
2020,01,30,19,00,00,315.37702
2020,01,30,20,00,00,309.10883
2020,01,30,21,00,00,307.39297
2020,01,30,22,00,00,295.82335
2020,01,30,23,00,00,293.37253
2020,01,31,00,00,00,295.82334
2020,01,31,01,00,00,289.92209
2020,01,31,02,00,00,290.73931
2020,01,31,03,00,00,283.56045
2020,01,31,04,00,00,279.96672
2020,01,31,05,00,00,275.47498
2020,01,31,06,00,00,271.56845
2020,01,31,07,00,00,270.51833
2020,01,31,08,00,00,268.19276
2020,01,31,09,00,00,263.14481
2020,01,31,10,00,00,257.11184
2020,01,31,11,00,00,270.46292
2020,01,31,12,00,00,276.11518
2020,01,31,13,00,00,287.52155
2020,01,31,14,00,00,299.83794
2020,01,31,15,00,00,309.63842
2020,01,31,16,00,00,323.35036
2020,01,31,17,00,00,290.98015
2020,01,31,18,00,00,283.94693
2020,01,31,19,00,00,292.82492
2020,01,31,20,00,00,292.42748
2020,01,31,21,00,00,289.59189
2020,01,31,22,00,00,278.85367
2020,01,31,23,00,00,276.35107
2020,02,01,00,00,00,272.81813
2020,02,01,01,00,00,268.27289
2020,02,01,02,00,00,259.03181
2020,02,01,03,00,00,259.72357
2020,02,01,04,00,00,257.33463
2020,02,01,05,00,00,256.30192
2020,02,01,06,00,00,259.78652
2020,02,01,07,00,00,259.09518
2020,02,01,08,00,00,259.54312
2020,02,01,09,00,00,259.22301
2020,02,01,10,00,00,257.1026
2020,02,01,11,00,00,254.26486
2020,02,01,12,00,00,252.87124
2020,02,01,13,00,00,251.75711
2020,02,01,14,00,00,256.94814
2020,02,01,15,00,00,256.31996
2020,02,01,16,00,00,257.73915
2020,02,01,17,00,00,257.15674
2020,02,01,18,00,00,249.93276
2020,02,01,19,00,00,244.35482
2020,02,01,20,00,00,237.61057
2020,02,01,21,00,00,217.23622
2020,02,01,22,00,00,199.15455
2020,02,01,23,00,00,187.84527
2020,02,02,00,00,00,185.58136
2020,02,02,01,00,00,184.34305
2020,02,02,02,00,00,183.73722
