Year,Month,Day,Hour,Minute,Second,KUM_META.t
2020,01,12,15,00,00,6.21
2020,01,12,16,00,00,6.01667
2020,01,12,17,00,00,5.92333
2020,01,12,18,00,00,5.905
2020,01,12,19,00,00,5.72
2020,01,12,20,00,00,5.46667
2020,01,12,21,00,00,4.84167
2020,01,12,22,00,00,4.53833
2020,01,12,23,00,00,4.25833
2020,01,13,00,00,00,3.79333
2020,01,13,01,00,00,2.80833
2020,01,13,02,00,00,2.195
2020,01,13,03,00,00,1.865
2020,01,13,04,00,00,1.30833
2020,01,13,05,00,00,0.795
2020,01,13,06,00,00,1.42
2020,01,13,07,00,00,1.83333
2020,01,13,08,00,00,2.07333
2020,01,13,09,00,00,2.44333
2020,01,13,10,00,00,2.12
2020,01,13,11,00,00,2.045
2020,01,13,12,00,00,2.115
2020,01,13,13,00,00,2.105
2020,01,13,14,00,00,1.905
2020,01,13,15,00,00,1.725
2020,01,13,16,00,00,1.81
2020,01,13,17,00,00,1.94167
2020,01,13,18,00,00,1.98
2020,01,13,19,00,00,2.03167
2020,01,13,20,00,00,2.17333
2020,01,13,21,00,00,2.305
2020,01,13,22,00,00,2.39167
2020,01,13,23,00,00,2.56167
2020,01,14,00,00,00,2.55167
2020,01,14,01,00,00,2.435
2020,01,14,02,00,00,2.58167
2020,01,14,03,00,00,3.14167
2020,01,14,04,00,00,3.41667
2020,01,14,05,00,00,3.31167
2020,01,14,06,00,00,2.91
2020,01,14,07,00,00,3.01833
2020,01,14,08,00,00,3.85833
2020,01,14,09,00,00,3.97333
2020,01,14,10,00,00,3.86167
2020,01,14,11,00,00,3.73
2020,01,14,12,00,00,3.55333
2020,01,14,13,00,00,3.585
2020,01,14,14,00,00,3.80833
2020,01,14,15,00,00,3.90167
2020,01,14,16,00,00,3.84
2020,01,14,17,00,00,3.31
2020,01,14,18,00,00,3.18667
2020,01,14,19,00,00,3.02667
2020,01,14,20,00,00,3.075
2020,01,14,21,00,00,2.85
2020,01,14,22,00,00,3.03333
2020,01,14,23,00,00,3.57333
2020,01,15,00,00,00,4.35
2020,01,15,01,00,00,5.075
2020,01,15,02,00,00,5.21167
2020,01,15,03,00,00,5.40833
2020,01,15,04,00,00,5.05833
2020,01,15,05,00,00,4.96833
2020,01,15,06,00,00,4.81
2020,01,15,07,00,00,4.84833
2020,01,15,08,00,00,4.92833
2020,01,15,09,00,00,5.105
2020,01,15,10,00,00,5.17
2020,01,15,11,00,00,5.59833
2020,01,15,12,00,00,6.275
2020,01,15,13,00,00,7.02167
2020,01,15,14,00,00,7.2
2020,01,15,15,00,00,7.04
2020,01,15,16,00,00,7.01667
2020,01,15,17,00,00,6.87
2020,01,15,18,00,00,6.83833
2020,01,15,19,00,00,6.74833
2020,01,15,20,00,00,6.48333
2020,01,15,21,00,00,6.43167
2020,01,15,22,00,00,6.22
2020,01,15,23,00,00,5.685
2020,01,16,00,00,00,5.79167
2020,01,16,01,00,00,5.92167
2020,01,16,02,00,00,5.87167
2020,01,16,03,00,00,5.70667
2020,01,16,04,00,00,5.35
2020,01,16,05,00,00,4.795
2020,01,16,06,00,00,4.58833
2020,01,16,07,00,00,4.44
2020,01,16,08,00,00,4.62667
2020,01,16,09,00,00,5.16167
2020,01,16,10,00,00,5.51333
2020,01,16,11,00,00,5.53167
2020,01,16,12,00,00,5.68833
2020,01,16,13,00,00,6.12333
2020,01,16,14,00,00,6.24833
2020,01,16,15,00,00,6.14833
2020,01,16,16,00,00,6.01833
2020,01,16,17,00,00,5.52
2020,01,16,18,00,00,5.62833
2020,01,16,19,00,00,5.38333
2020,01,16,20,00,00,5.62167
2020,01,16,21,00,00,5.34333
2020,01,16,22,00,00,4.73167
2020,01,16,23,00,00,4.35
2020,01,17,00,00,00,4.10833
2020,01,17,01,00,00,3.96667
2020,01,17,02,00,00,3.80167
2020,01,17,03,00,00,3.79667
2020,01,17,04,00,00,3.77833
2020,01,17,05,00,00,3.53667
2020,01,17,06,00,00,3.23333
2020,01,17,07,00,00,3.52667
2020,01,17,08,00,00,3.96
2020,01,17,09,00,00,3.985
2020,01,17,10,00,00,4.32667
2020,01,17,11,00,00,4.78
2020,01,17,12,00,00,5.01167
2020,01,17,13,00,00,5.175
2020,01,17,14,00,00,4.99333
2020,01,17,15,00,00,4.725
2020,01,17,16,00,00,4.57833
2020,01,17,17,00,00,4.72667
2020,01,17,18,00,00,4.44
2020,01,17,19,00,00,4.31333
2020,01,17,20,00,00,4.37167
2020,01,17,21,00,00,4.58667
2020,01,17,22,00,00,4.595
2020,01,17,23,00,00,4.56
2020,01,18,00,00,00,4.47
2020,01,18,01,00,00,4.27333
2020,01,18,02,00,00,3.875
2020,01,18,03,00,00,3.66833
2020,01,18,04,00,00,3.35833
2020,01,18,05,00,00,2.79667
2020,01,18,06,00,00,2.47
2020,01,18,07,00,00,2.10833
2020,01,18,08,00,00,1.80667
2020,01,18,09,00,00,2.015
2020,01,18,10,00,00,2.03833
2020,01,18,11,00,00,2.265
2020,01,18,12,00,00,2.47667
2020,01,18,13,00,00,2.92167
2020,01,18,14,00,00,3.28
2020,01,18,15,00,00,3.47833
2020,01,18,16,00,00,3.53333
2020,01,18,17,00,00,3.71167
2020,01,18,18,00,00,3.95
2020,01,18,19,00,00,4.18667
2020,01,18,20,00,00,4.52167
2020,01,18,21,00,00,4.86667
2020,01,18,22,00,00,4.89667
2020,01,18,23,00,00,4.715
2020,01,19,00,00,00,4.51667
2020,01,19,01,00,00,4.45833
2020,01,19,02,00,00,4.43
2020,01,19,03,00,00,4.44
2020,01,19,04,00,00,4.16333
2020,01,19,05,00,00,4.23
2020,01,19,06,00,00,4.37
2020,01,19,07,00,00,4.17333
2020,01,19,08,00,00,4.50833
2020,01,19,09,00,00,4.715
2020,01,19,10,00,00,3.97833
2020,01,19,11,00,00,2.65333
2020,01,19,12,00,00,2.47167
2020,01,19,13,00,00,2.845
2020,01,19,14,00,00,3.165
2020,01,19,15,00,00,3.38667
2020,01,19,16,00,00,3.35833
2020,01,19,17,00,00,3.07333
2020,01,19,18,00,00,2.80333
