Year,Month,Day,Hour,Minute,Second,KUM_META.ws
2020,01,24,19,00,00,3.44667
2020,01,24,20,00,00,4.07333
2020,01,24,21,00,00,3.375
2020,01,24,22,00,00,3.54
2020,01,24,23,00,00,4.84167
2020,01,25,00,00,00,4.375
2020,01,25,01,00,00,3.53667
2020,01,25,02,00,00,4.1
2020,01,25,03,00,00,4.26
2020,01,25,04,00,00,5.155
2020,01,25,05,00,00,5.73667
2020,01,25,06,00,00,6.02167
2020,01,25,07,00,00,5.75167
2020,01,25,08,00,00,5.82167
2020,01,25,09,00,00,5.60167
2020,01,25,10,00,00,5.88667
2020,01,25,11,00,00,7.33
2020,01,25,12,00,00,7.35
2020,01,25,13,00,00,5.945
2020,01,25,14,00,00,5.86333
2020,01,25,15,00,00,4.98333
2020,01,25,16,00,00,4.28
2020,01,25,17,00,00,4.58167
2020,01,25,18,00,00,4.52333
2020,01,25,19,00,00,4.24
2020,01,25,20,00,00,4.08667
2020,01,25,21,00,00,3.94667
2020,01,25,22,00,00,3.17333
2020,01,25,23,00,00,3.14167
2020,01,26,00,00,00,3.10667
2020,01,26,01,00,00,2.67667
2020,01,26,02,00,00,2.49667
2020,01,26,03,00,00,4.49333
2020,01,26,04,00,00,4.94667
2020,01,26,05,00,00,5.75167
2020,01,26,06,00,00,4.79667
2020,01,26,07,00,00,4.36333
2020,01,26,08,00,00,4.32
2020,01,26,09,00,00,4.83333
2020,01,26,10,00,00,4.83167
2020,01,26,11,00,00,5.07
2020,01,26,12,00,00,4.665
2020,01,26,13,00,00,4.67
2020,01,26,14,00,00,4.37333
2020,01,26,15,00,00,3.42
2020,01,26,16,00,00,2.59
2020,01,26,17,00,00,2.67667
2020,01,26,18,00,00,2.115
2020,01,26,19,00,00,1.915
2020,01,26,20,00,00,2.20833
2020,01,26,21,00,00,2.535
2020,01,26,22,00,00,3.48667
2020,01,26,23,00,00,3.78333
2020,01,27,00,00,00,3.61833
2020,01,27,01,00,00,3.62167
2020,01,27,02,00,00,3.62333
2020,01,27,03,00,00,3.62833
2020,01,27,04,00,00,4.33167
2020,01,27,05,00,00,4.065
2020,01,27,06,00,00,4.24
2020,01,27,07,00,00,3.45833
2020,01,27,08,00,00,4.70167
2020,01,27,09,00,00,4.37167
2020,01,27,10,00,00,4.795
2020,01,27,11,00,00,5.205
2020,01,27,12,00,00,4.65333
2020,01,27,13,00,00,4.23667
2020,01,27,14,00,00,3.1
2020,01,27,15,00,00,3.23833
2020,01,27,16,00,00,2.92
2020,01,27,17,00,00,2.44167
2020,01,27,18,00,00,2.18333
2020,01,27,19,00,00,1.82667
2020,01,27,20,00,00,1.66
2020,01,27,21,00,00,1.58833
2020,01,27,22,00,00,1.455
2020,01,27,23,00,00,1.135
2020,01,28,00,00,00,2.77333
2020,01,28,01,00,00,3.37833
2020,01,28,02,00,00,2.57333
2020,01,28,03,00,00,2.3
2020,01,28,04,00,00,2.83667
2020,01,28,05,00,00,3.32333
2020,01,28,06,00,00,3.655
2020,01,28,07,00,00,2.71
2020,01,28,08,00,00,2.84167
2020,01,28,09,00,00,4.07167
2020,01,28,10,00,00,4.06833
2020,01,28,11,00,00,4.29167
2020,01,28,12,00,00,4.22167
2020,01,28,13,00,00,3.65167
2020,01,28,14,00,00,3.355
2020,01,28,15,00,00,2.34
2020,01,28,16,00,00,2.04833
2020,01,28,17,00,00,2.74
2020,01,28,18,00,00,3.53667
2020,01,28,19,00,00,3.27333
2020,01,28,20,00,00,3.26
2020,01,28,21,00,00,3.32333
2020,01,28,22,00,00,3.525
2020,01,28,23,00,00,3.90833
2020,01,29,00,00,00,3.93167
2020,01,29,01,00,00,3.72833
2020,01,29,02,00,00,4.28
2020,01,29,03,00,00,4.48167
2020,01,29,04,00,00,4.33333
2020,01,29,05,00,00,4.78833
2020,01,29,06,00,00,4.42833
2020,01,29,07,00,00,4.515
2020,01,29,08,00,00,4.70833
2020,01,29,09,00,00,3.89167
2020,01,29,10,00,00,3.77833
2020,01,29,11,00,00,4.12167
2020,01,29,12,00,00,3.775
2020,01,29,13,00,00,4.17833
2020,01,29,14,00,00,4.01
2020,01,29,15,00,00,4.40833
2020,01,29,16,00,00,3.88167
2020,01,29,17,00,00,4.62167
2020,01,29,18,00,00,5.24333
2020,01,29,19,00,00,4.295
2020,01,29,20,00,00,4.44833
2020,01,29,21,00,00,4.4
2020,01,29,22,00,00,4.16
2020,01,29,23,00,00,4.5
2020,01,30,00,00,00,4.71
2020,01,30,01,00,00,3.885
2020,01,30,02,00,00,3.88
2020,01,30,03,00,00,4.08
2020,01,30,04,00,00,4.44
2020,01,30,05,00,00,4.41333
2020,01,30,06,00,00,4.40667
2020,01,30,07,00,00,4.80333
2020,01,30,08,00,00,4.28833
2020,01,30,09,00,00,4.325
2020,01,30,10,00,00,4.20833
2020,01,30,11,00,00,4.23333
2020,01,30,12,00,00,4.17333
2020,01,30,13,00,00,4.35333
2020,01,30,14,00,00,4.40667
2020,01,30,15,00,00,3.83167
2020,01,30,16,00,00,3.12
2020,01,30,17,00,00,3.04
2020,01,30,18,00,00,3.47
2020,01,30,19,00,00,3.50333
2020,01,30,20,00,00,3.70333
2020,01,30,21,00,00,2.77667
2020,01,30,22,00,00,3.15
2020,01,30,23,00,00,2.67
2020,01,31,00,00,00,1.965
2020,01,31,01,00,00,2.31333
2020,01,31,02,00,00,2.485
2020,01,31,03,00,00,2.44
2020,01,31,04,00,00,2.96833
2020,01,31,05,00,00,2.94167
2020,01,31,06,00,00,3.47667
2020,01,31,07,00,00,3.44167
2020,01,31,08,00,00,3.425
2020,01,31,09,00,00,3.385
2020,01,31,10,00,00,3.93667
2020,01,31,11,00,00,3.24333
2020,01,31,12,00,00,4.915
2020,01,31,13,00,00,3.9
2020,01,31,14,00,00,3.14667
2020,01,31,15,00,00,3.39667
2020,01,31,16,00,00,2.66833
2020,01,31,17,00,00,3.15
2020,01,31,18,00,00,3.40333
2020,01,31,19,00,00,3.70167
2020,01,31,20,00,00,2.93
2020,01,31,21,00,00,2.99333
2020,01,31,22,00,00,3.07
2020,01,31,23,00,00,3.29
2020,02,01,00,00,00,3.10833
2020,02,01,01,00,00,2.565
2020,02,01,02,00,00,3.07333
2020,02,01,03,00,00,3.755
2020,02,01,04,00,00,3.82167
2020,02,01,05,00,00,4.20333
2020,02,01,06,00,00,4.57167
2020,02,01,07,00,00,4.825
2020,02,01,08,00,00,5.55167
2020,02,01,09,00,00,5.205
2020,02,01,10,00,00,5.37167
2020,02,01,11,00,00,5.24
2020,02,01,12,00,00,5.75667
2020,02,01,13,00,00,5.98667
2020,02,01,14,00,00,5.93833
2020,02,01,15,00,00,6.49167
2020,02,01,16,00,00,6.26167
2020,02,01,17,00,00,6.37833
2020,02,01,18,00,00,5.59167
2020,02,01,19,00,00,3.97
2020,02,01,20,00,00,4.07833
2020,02,01,21,00,00,3.93833
2020,02,01,22,00,00,3.51667
2020,02,01,23,00,00,3.82667
2020,02,02,00,00,00,3.7
2020,02,02,01,00,00,3.925
2020,02,02,02,00,00,3.63
2020,02,02,03,00,00,4.16667
2020,02,02,04,00,00,3.75333
2020,02,02,05,00,00,4.20167
2020,02,02,06,00,00,4.07
2020,02,02,07,00,00,3.95167
2020,02,02,08,00,00,3.81333
2020,02,02,09,00,00,3.67167
2020,02,02,10,00,00,3.06833
2020,02,02,11,00,00,2.73667
2020,02,02,12,00,00,2.43
2020,02,02,13,00,00,3.40167
2020,02,02,14,00,00,4.21667
2020,02,02,15,00,00,4.84833
2020,02,02,16,00,00,4.21667
2020,02,02,17,00,00,3.185
2020,02,02,18,00,00,3.765
